Code,Name,Panel,
clec7a,C-type lectin domain family 7 member A (CLEC7A),Inflammation,
clip2,CAP-Gly domain-containing linker protein 2  (CLIP2),Inflammation,
clmp,CXADR-like membrane protein (CLMP),Oncology,
clpp,"ATP-dependent Clp protease proteolytic subunit, mitochondrial ",Neurology,
clps,Colipase,Neurology,
clspn,Claspin (CLSPN),Neurology,
clstn1,Calsyntenin-1 (CLSTN1),Neurology,
clstn2,Calsyntenin-2 (CLSTN2),Inflammation,
clta,Clathrin light chain A ,Cardiometabolic,
clul1,Clusterin-like protein 1 (CLUL1),Cardiometabolic,
cndp1,Beta-Ala-His dipeptidase (CNDP1),Cardiometabolic,
cnpy2,Protein canopy homolog 2 (CNPY2),Cardiometabolic,
cnpy4,Protein canopy homolog 4,Oncology,
cnst,Consortin,Cardiometabolic,
cntn1,Contactin-1 (CNTN1) ,Cardiometabolic,
cntn2,Contactin-2 (CNTN2),Oncology,
cntn3,Contactin-3 ,Neurology,
cntn4,Contactin-4 (CNTN4),Neurology,
cntn5,Contactin-5 (CNTN5),Neurology,
cntnap2,Contactin-associated protein-like 2 (CNTNAP2),Inflammation,
col18a1,Collagen alpha-1(XVIII) chain (COL18A1),Cardiometabolic,
col1a1,Collagen alpha-1(I) chain (COL1A1),Cardiometabolic,
col4a1,Collagen alpha-1(IV) chain (COL4A1),Cardiometabolic,
col6a3,Collagen alpha-3,Cardiometabolic,
col9a1,Collagen alpha-1(IX) chain (COL9A1),Inflammation,
colec12,Collectin-12 (COLEC12),Inflammation,
comp,Cartilage oligomeric matrix protein  (COMP),Cardiometabolic,
comt,Catechol O-methyltransferase (COMT),Cardiometabolic,
cope,Coatomer subunit epsilon ,Neurology,
coro1a,Coronin-1A ,Cardiometabolic,
cox5b,"Cytochrome c oxidase subunit 5B, mitochondrial ",Oncology,
cpa1,Carboxypeptidase A1 (CPA1),Cardiometabolic,
cpa2,Carboxypeptidase A2 (CPA2),Neurology,
cpb1,Carboxypeptidase B (CPB1),Cardiometabolic,
cpe,Carboxypeptidase E (CPE),Oncology,
cpm,Carboxypeptidase M (CPM),Neurology,
cpped1,Serine/threonine-protein phosphatase CPPED1 ,Neurology,
cpvl,Probable serine carboxypeptidase CPVL (CPVL),Oncology,
cpxm1,Probable carboxypeptidase X1 (CPXM1),Oncology,
cr2,Complement receptor type 2  (CR2),Cardiometabolic,
cracr2a,EF-hand calcium-binding domain-containing protein 4B ,Oncology,
cradd,Death domain-containing protein (CRADD),Neurology,
creg1,Protein CREG1 ,Oncology,
creld2,Cysteine-rich with EGF-like domain protein 2 (CRELD2),Inflammation,
crh,Corticoliberin (CRH),Oncology,
crhbp,Corticotropin-releasing factor-binding protein (CRHBP),Inflammation,
crhr1,Corticotropin-releasing factor receptor 1 ,Cardiometabolic,
crim1,Cysteine-rich motor NEUn 1 protein (CRIM1),Inflammation,
crip2,Cysteine-rich protein 2 (CRIP2),Neurology,
crisp2,Cysteine-rich secretory protein 2  (CRISP2),Oncology,
crkl,Crk-like protein (CRKL),Inflammation,
crlf1,Cytokine receptor-like factor 1 ,Inflammation,
crnn,Cornulin (CRNN),Oncology,
crtac1,Cartilage acidic protein 1 (CRTAC1),Cardiometabolic,
crtam,Cytotoxic and regulatory T-cell molecule (CRTAM),Neurology,
crx,Cone-rod homeobox protein (CRX),Cardiometabolic,
csf1,Macrophage colony-stimulating factor 1 (CSF-1),Inflammation,
csf2ra,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha),Neurology,
csf3,Granulocyte Colony-Stimulating Factor (G-CSF),Inflammation,
cst3,Cystatin-C (CST3),Cardiometabolic,
cst5,Cystatin D (CST5),Neurology,
cst6,Cystatin-M (CST6),Cardiometabolic,
cst7,Cystatin-F ,Inflammation,
cstb,Cystatin-B  (CSTB),Cardiometabolic,
ctf1,CARtrophin-1 (CTF1),Cardiometabolic,
ctrb1,Chymotrypsinogen B ,Neurology,
ctrc,Chymotrypsin C (CTRC),Inflammation,
ctsb,Cathepsin B ,Cardiometabolic,
ctsc,Dipeptidyl peptidase 1 (CTSC),Inflammation,
ctsd,Cathepsin D (CTSD) ,Cardiometabolic,
ctsf,Cathepsin F (CTSF),Oncology,
ctsh,Pro-cathepsin H (CTSH),Cardiometabolic,
ctsl,Cathepsin L1 (CTSL1),Cardiometabolic,
ctso,Cathepsin O (CTSO),Inflammation,
ctss,Cathepsin S (CTSS),Neurology,
ctsv,Cathepsin L2 (CTSV),Oncology,
ctsz,Cathepsin Z (CTSZ),Cardiometabolic,
cx3cl1,Fractalkine (CX3CL1 ),Neurology,
cxadr,Coxsackievirus and adenovirus receptor (CXADR),Inflammation,
cxcl1,C-X-C motif chemokine 1 (CXCL1),Inflammation,
cxcl10,C-X-C motif chemokine 10  (CXCL10 ),Inflammation,
cxcl11,C-X-C motif chemokine 11 (CXCL11),Neurology,
cxcl12,Stromal cell-derived factor 1 (CXCL12),Inflammation,
cxcl13,C-X-C motif chemokine 13  (CXCL13 ),Neurology,
cxcl14,C-X-C motif chemokine 14 (CXCL14),Inflammation,
cxcl16,C-X-C motif chemokine 16 (CXCL16) ,Cardiometabolic,
cxcl17,VEGF-co regulated chemokine  1 (CXL17),Inflammation,
cxcl3,C-X-C motif chemokine 3 ,Inflammation,
cxcl5,C-X-C motif chemokine 5  (CXCL5 ),Cardiometabolic,
cxcl6,C-X-C motif chemokine 6 (CXCL6),Inflammation,
cxcl8,Interleukin-8  (IL-8),Oncology,
cxcl9,C-X-C motif chemokine 9 (CXCL9 ),Inflammation,
dab2,Disabled homolog 2 (DAB2),Oncology,
dag1,Dystroglycan (DAG1),Inflammation,
dapp1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (DAPP1),Inflammation,
dars1,"Aspartate--tRNA ligase, cytoplasmic ",Neurology,
dbi,Acyl-CoA-binding protein ,Neurology,
dbnl,Drebrin-like protein ,Inflammation,
dcbld2,"Discoidin, CUB and LCCL domain-containing protein 2 (DCBLD2)",Oncology,
dcn,Decorin (DCN),Cardiometabolic,
dctn1,Dynactin subunit 1 (DCTN1),Oncology,
dctn2,Dynactin subunit 2 (DCTN2),Oncology,
dctn6,Dynactin subunit 6 ,Neurology,
dctpp1,dCTP pyrophosphatase 1 (DCTPP1 ),Cardiometabolic,
dcxr,L-xylulose reductase ,Oncology,
ddah1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1  (DDAH1)",Oncology,
ddc,Aromatic-L-amino-acid decarboxylase (DDC),Cardiometabolic,
ddr1,Epithelial discoidin domain-containing receptor 1 (DDR1),Neurology,
ddx58,Probable ATP-dependent RNA helicase DDX58 (DDX58),Oncology,
decr1,"2,4-dienoyl-CoA reductase, mitochondrial (DECR1)",Inflammation,
defa1_defa1b,Neutrophil defensin 1 (DEFA1),Cardiometabolic,
defb4a_defb4b,Beta-defensin 4A (DEFB4A),Oncology,
dffa,DNA fragmentation factor subunit alpha (DFFA),Inflammation,
dgkz,Diacylglycerol kinase zeta (DGKZ),Inflammation,
diablo,"Diablo homolog, mitochondrial (DIABLO)",Cardiometabolic,
dkk1,Dickkopf-related protein 1 (Dkk-1),Neurology,
dkk3,Dickkopf-related protein 3 (DKK3),Cardiometabolic,
dkk4,Dickkopf-related protein 4 (Dkk-4),Neurology,
dkkl1,Dickkopf-like protein 1 (DKKL1),Oncology,
dlk1,Protein delta homolog 1 (DLK-1),Cardiometabolic,
dll1,Delta-like protein 1 (DLL1),Oncology,
dnaja2,DnaJ homolog subfamily A member 2 ,Inflammation,
dnajb1,DnaJ homolog subfamily B member 1 (DNAJB1),Oncology,
dnajb8,DnaJ homolog subfamily B member 8,Cardiometabolic,
dner,Delta and Notch-like epidermal growth factor-related receptor (DNER),Inflammation,
dnmbp,Dynamin-binding protein ,Neurology,
dnph1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 ,Inflammation,
dok2,Docking protein 2 ,Cardiometabolic,
dpep1,Dipeptidase 1 (DPEP1),Neurology,
dpep2,Dipeptidase 2 (DPEP2),Oncology,
dpp10,Inactive dipeptidyl peptidase 10 (DPP10),Inflammation,
dpp4,Dipeptidyl peptidase 4 (DPP4),Cardiometabolic,
dpp6,Dipeptidyl aminopeptidase-like protein 6 (DPP6),Oncology,
dpp7,Dipeptidyl peptidase 2 (DPP7),Cardiometabolic,
dpt,Dermatopontin ,Cardiometabolic,
dpy30,Protein dpy-30 homolog ,Oncology,
